escolaridade_crua;escolaridade_canonica;ordem;observacao
ANALFABETO;Sem escolaridade formal registrada;1;Valor do portal - maioria sao servidores antigos, hoje inativos ou pensionistas
FUNDAMENTAL INCOMPLETO(ATE 5o);Fundamental incompleto;2;Unificado
FUNDAMENTAL INCOMPLETO (ATE 5o);Fundamental incompleto;2;Unificado
FUNDAMENTAL INCOMPLETO (6o-9o);Fundamental incompleto;2;Unificado
FUNDAMENTAL INCOMPLETO(6o-9o);Fundamental incompleto;2;Unificado
FUNDAMENTAL COMPLETO;Fundamental completo;3;Unificado
FUNDAMENTAL COMPLETO (5o.ANO);Fundamental completo;3;Unificado
ENSINO MEDIO INCOMPLETO;Médio incompleto;4;
ENSINO MEDIO COMPLETO;Médio completo;5;Unificado
MEDIO COMPLETO;Médio completo;5;Unificado
SUPERIOR INCOMPLETO;Superior incompleto;6;
SUPERIOR COMPLETO;Superior completo;7;
POS-GRADUADO;Pós-graduação;8;Unificado
POS-GRADUACAO;Pós-graduação;8;Unificado
MESTRADO COMPLETO;Mestrado;9;
DOUTORADO COMPLETO;Doutorado;10;
